資料年月,縣市,車種類別,數量
200701,臺北市,大型重型機車,9056
200701,臺北市,小型輕型機車,0
200701,臺北市,汽車,1353352
200701,臺北市,普通重型機車,953237
200701,臺北市,普通輕型機車,146081
200701,臺北市,普通駕照,1297958
200701,臺北市,機車,1108374
200701,臺北市,職業駕照,55394
200702,臺北市,大型重型機車,9183
200702,臺北市,小型輕型機車,0
200702,臺北市,汽車,1354486
200702,臺北市,普通重型機車,954592
200702,臺北市,普通輕型機車,145968
200702,臺北市,普通駕照,1299236
200702,臺北市,機車,1109743
200702,臺北市,職業駕照,55250
200703,臺北市,大型重型機車,9362
200703,臺北市,小型輕型機車,0
200703,臺北市,汽車,1355750
200703,臺北市,普通重型機車,955438
200703,臺北市,普通輕型機車,145723
200703,臺北市,普通駕照,1300651
200703,臺北市,機車,1110523
200703,臺北市,職業駕照,55099
200704,臺北市,大型重型機車,9514
200704,臺北市,小型輕型機車,0
200704,臺北市,汽車,1357407
200704,臺北市,普通重型機車,956314
200704,臺北市,普通輕型機車,145449
200704,臺北市,普通駕照,1302381
200704,臺北市,機車,1111277
200704,臺北市,職業駕照,55026
200705,臺北市,大型重型機車,9699
200705,臺北市,小型輕型機車,0
200705,臺北市,汽車,1358855
200705,臺北市,普通重型機車,957446
200705,臺北市,普通輕型機車,145145
200705,臺北市,普通駕照,1303955
200705,臺北市,機車,1112290
200705,臺北市,職業駕照,54900
200706,臺北市,大型重型機車,9908
200706,臺北市,小型輕型機車,0
200706,臺北市,汽車,1360793
200706,臺北市,普通重型機車,958654
200706,臺北市,普通輕型機車,144073
200706,臺北市,普通駕照,1305934
200706,臺北市,機車,1112635
200706,臺北市,職業駕照,54859
200707,臺北市,大型重型機車,10207
200707,臺北市,小型輕型機車,0
200707,臺北市,汽車,1362998
200707,臺北市,普通重型機車,961434
200707,臺北市,普通輕型機車,142673
200707,臺北市,普通駕照,1308174
200707,臺北市,機車,1114314
200707,臺北市,職業駕照,54824
200708,臺北市,大型重型機車,10442
200708,臺北市,小型輕型機車,0
200708,臺北市,汽車,1366955
200708,臺北市,普通重型機車,964296
200708,臺北市,普通輕型機車,141149
200708,臺北市,普通駕照,1312209
200708,臺北市,機車,1115887
200708,臺北市,職業駕照,54746
200709,臺北市,大型重型機車,10683
200709,臺北市,小型輕型機車,1
200709,臺北市,汽車,1369787
200709,臺北市,普通重型機車,966013
200709,臺北市,普通輕型機車,144796
200709,臺北市,普通駕照,1315216
200709,臺北市,機車,1121493
200709,臺北市,職業駕照,54571
200710,臺北市,大型重型機車,10951
200710,臺北市,小型輕型機車,1
200710,臺北市,汽車,1371200
200710,臺北市,普通重型機車,967166
200710,臺北市,普通輕型機車,144516
200710,臺北市,普通駕照,1316707
200710,臺北市,機車,1122634
200710,臺北市,職業駕照,54493
200711,臺北市,大型重型機車,11326
200711,臺北市,小型輕型機車,1
200711,臺北市,汽車,1372047
200711,臺北市,普通重型機車,967879
200711,臺北市,普通輕型機車,144266
200711,臺北市,普通駕照,1317785
200711,臺北市,機車,1123472
200711,臺北市,職業駕照,54262
200712,臺北市,大型重型機車,11734
200712,臺北市,小型輕型機車,1
200712,臺北市,汽車,1372978
200712,臺北市,普通重型機車,968802
200712,臺北市,普通輕型機車,143992
200712,臺北市,普通駕照,1318864
200712,臺北市,機車,1124529
200712,臺北市,職業駕照,54114
200801,臺北市,大型重型機車,12072
200801,臺北市,小型輕型機車,1
200801,臺北市,汽車,1374061
200801,臺北市,普通重型機車,969792
200801,臺北市,普通輕型機車,143781
200801,臺北市,普通駕照,1320053
200801,臺北市,機車,1125646
200801,臺北市,職業駕照,54008
200802,臺北市,大型重型機車,12154
200802,臺北市,小型輕型機車,1
200802,臺北市,汽車,1374711
200802,臺北市,普通重型機車,970631
200802,臺北市,普通輕型機車,143643
200802,臺北市,普通駕照,1320796
200802,臺北市,機車,1126429
200802,臺北市,職業駕照,53915
200803,臺北市,大型重型機車,12347
200803,臺北市,小型輕型機車,1
200803,臺北市,汽車,1375334
200803,臺北市,普通重型機車,971414
200803,臺北市,普通輕型機車,143309
200803,臺北市,普通駕照,1321647
200803,臺北市,機車,1127071
200803,臺北市,職業駕照,53687
200804,臺北市,大型重型機車,12516
200804,臺北市,小型輕型機車,1
200804,臺北市,汽車,1376729
200804,臺北市,普通重型機車,972206
200804,臺北市,普通輕型機車,142943
200804,臺北市,普通駕照,1323206
200804,臺北市,機車,1127666
200804,臺北市,職業駕照,53523
200805,臺北市,大型重型機車,12684
200805,臺北市,小型輕型機車,1
200805,臺北市,汽車,1378174
200805,臺北市,普通重型機車,973259
200805,臺北市,普通輕型機車,142719
200805,臺北市,普通駕照,1324851
200805,臺北市,機車,1128663
200805,臺北市,職業駕照,53323
200806,臺北市,大型重型機車,12868
200806,臺北市,小型輕型機車,1
200806,臺北市,汽車,1379904
200806,臺北市,普通重型機車,974873
200806,臺北市,普通輕型機車,142457
200806,臺北市,普通駕照,1326663
200806,臺北市,機車,1130199
200806,臺北市,職業駕照,53241
200807,臺北市,大型重型機車,13065
200807,臺北市,小型輕型機車,1
200807,臺北市,汽車,1382139
200807,臺北市,普通重型機車,977641
200807,臺北市,普通輕型機車,142266
200807,臺北市,普通駕照,1328860
200807,臺北市,機車,1132973
200807,臺北市,職業駕照,53279
200808,臺北市,大型重型機車,13245
200808,臺北市,小型輕型機車,1
200808,臺北市,汽車,1385314
200808,臺北市,普通重型機車,980854
200808,臺北市,普通輕型機車,142181
200808,臺北市,普通駕照,1332010
200808,臺北市,機車,1136281
200808,臺北市,職業駕照,53304
200809,臺北市,大型重型機車,13417
200809,臺北市,小型輕型機車,1
200809,臺北市,汽車,1388352
200809,臺北市,普通重型機車,983101
200809,臺北市,普通輕型機車,142044
200809,臺北市,普通駕照,1335214
200809,臺北市,機車,1138563
200809,臺北市,職業駕照,53138
200810,臺北市,大型重型機車,13576
200810,臺北市,小型輕型機車,1
200810,臺北市,汽車,1389708
200810,臺北市,普通重型機車,984652
200810,臺北市,普通輕型機車,141679
200810,臺北市,普通駕照,1336606
200810,臺北市,機車,1139908
200810,臺北市,職業駕照,53102
200811,臺北市,大型重型機車,13705
200811,臺北市,小型輕型機車,1
200811,臺北市,汽車,1390505
200811,臺北市,普通重型機車,985599
200811,臺北市,普通輕型機車,141435
200811,臺北市,普通駕照,1337561
200811,臺北市,機車,1140740
200811,臺北市,職業駕照,52944
200812,臺北市,大型重型機車,13859
200812,臺北市,小型輕型機車,1
200812,臺北市,汽車,1391251
200812,臺北市,普通重型機車,986536
200812,臺北市,普通輕型機車,141212
200812,臺北市,普通駕照,1338388
200812,臺北市,機車,1141608
200812,臺北市,職業駕照,52863
200901,臺北市,大型重型機車,13959
200901,臺北市,小型輕型機車,1
200901,臺北市,汽車,1392222
200901,臺北市,普通重型機車,987389
200901,臺北市,普通輕型機車,141051
200901,臺北市,普通駕照,1339390
200901,臺北市,機車,1142400
200901,臺北市,職業駕照,52832
200902,臺北市,大型重型機車,14100
200902,臺北市,小型輕型機車,1
200902,臺北市,汽車,1392997
200902,臺北市,普通重型機車,989279
200902,臺北市,普通輕型機車,140807
200902,臺北市,普通駕照,1340239
200902,臺北市,機車,1144187
200902,臺北市,職業駕照,52758
200903,臺北市,大型重型機車,14262
200903,臺北市,小型輕型機車,1
200903,臺北市,汽車,1394857
200903,臺北市,普通重型機車,990667
200903,臺北市,普通輕型機車,140515
200903,臺北市,普通駕照,1342263
200903,臺北市,機車,1145445
200903,臺北市,職業駕照,52594
200904,臺北市,大型重型機車,14352
200904,臺北市,小型輕型機車,1
200904,臺北市,汽車,1396292
200904,臺北市,普通重型機車,991644
200904,臺北市,普通輕型機車,140276
200904,臺北市,普通駕照,1343697
200904,臺北市,機車,1146273
200904,臺北市,職業駕照,52595
200905,臺北市,大型重型機車,14505
200905,臺北市,小型輕型機車,1
200905,臺北市,汽車,1398202
200905,臺北市,普通重型機車,993123
200905,臺北市,普通輕型機車,140037
200905,臺北市,普通駕照,1345777
200905,臺北市,機車,1147666
200905,臺北市,職業駕照,52425
200906,臺北市,大型重型機車,14625
200906,臺北市,小型輕型機車,1
200906,臺北市,汽車,1399984
200906,臺北市,普通重型機車,994463
200906,臺北市,普通輕型機車,139686
200906,臺北市,普通駕照,1347621
200906,臺北市,機車,1148775
200906,臺北市,職業駕照,52363
200907,臺北市,大型重型機車,14778
200907,臺北市,小型輕型機車,1
200907,臺北市,汽車,1402583
200907,臺北市,普通重型機車,998051
200907,臺北市,普通輕型機車,139461
200907,臺北市,普通駕照,1350470
200907,臺北市,機車,1152291
200907,臺北市,職業駕照,52113
200908,臺北市,大型重型機車,14883
200908,臺北市,小型輕型機車,1
200908,臺北市,汽車,1405685
200908,臺北市,普通重型機車,1000818
200908,臺北市,普通輕型機車,139424
200908,臺北市,普通駕照,1353632
200908,臺北市,機車,1155126
200908,臺北市,職業駕照,52053
200909,臺北市,大型重型機車,15025
200909,臺北市,小型輕型機車,1
200909,臺北市,汽車,1408914
200909,臺北市,普通重型機車,1003248
200909,臺北市,普通輕型機車,139216
200909,臺北市,普通駕照,1356895
200909,臺北市,機車,1157490
200909,臺北市,職業駕照,52019
200910,臺北市,大型重型機車,15142
200910,臺北市,小型輕型機車,1
200910,臺北市,汽車,1410047
200910,臺北市,普通重型機車,1004061
200910,臺北市,普通輕型機車,138966
200910,臺北市,普通駕照,1358101
200910,臺北市,機車,1158170
200910,臺北市,職業駕照,51946
